abund,Present,clDD,clFD,clTmi,clTma,clTmn,clP,NDVI,broadleaf,conif,grass,crop,urban,wetland
5,Absent,5542.55,83.5,9,32.1,15.16,139.57,-56,0.38658147,0.012779553,0,0.271565495,0.239616613,0
0.2,Absent,5749.6,67.5,9.6,31.4,15.73178082,147.38,-44,0.951612903,0.048387097,0,0,0,0
0.4,Absent,5395.4,79.5,8.6,30.9,14.76520548,148.35,-36,0.99047619,0,0,0,0,0
0,Present,5920.05,66.7,11.9,31.9,16.18575342,142.52,-49,0.050632911,0.914556962,0,0.028481013,0,0
0,Present,6151.85,57.6,11.6,32.4,16.82958904,141.02,-42,0.229559748,0.701257862,0,0.044025157,0.01572327,0
0,Present,6024.6,59.2,10.8,32.1,16.48054795,141.65,-49,0.205128205,0.679487179,0,0.070512821,0.032051282,0
0,Present,6068.9,59.5,10.8,32.3,16.59808219,138.91,-48,0.164556962,0.518987342,0,0.136075949,0.180379747,0
0,Present,6338.95,51.5,11.6,33,17.33780822,137.65,-50,0.394321767,0.558359621,0,0.025236593,0,0
0,Present,6560.05,47.4,13.6,33.5,17.94356164,141.6,-64,0.019169329,0.955271565,0,0.025559105,0,0
0,Present,6589.5,46.3,13.5,33.4,18.01972603,143.42,-58,0.08974359,0.836538462,0,0.064102564,0.009615385,0
0.6,Absent,6683.45,40.7,13.5,33.3,18.28575342,140.98,-64,0.086261981,0.319488818,0,0.594249201,0,0
0,Present,6514.75,47.3,12.8,33.4,17.82767123,139.45,-57,0.01572327,0.965408805,0,0.009433962,0.009433962,0
0.2,Absent,6242.25,54.9,12.3,32.5,17.09369863,141.28,-77,0.009493671,0.474683544,0,0.5,0.009493671,0
0,Present,6461.45,48.2,13.1,32.9,17.66931507,138.22,-65,0.038216561,0.824840764,0,0.136942675,0,0
0,Present,6154.5,61.3,12.5,32.4,16.83643836,134.28,-63,0,0.639240506,0,0.268987342,0.037974684,0
0,Present,6563.4,44.5,13.4,33.1,17.96109589,134,-80,0.012698413,0.653968254,0,0.333333333,0,0
0,Present,6912.2,31.2,15.1,33.1,18.90794521,157.41,-69,0,0.735015773,0,0.264984227,0,0
0,Present,7089.6,23.3,15.8,32.9,19.39890411,161.44,-81,0,0.748427673,0,0.251572327,0,0
0,Present,6944.4,30.1,14.9,33,19.00054795,159.84,-72,0,0.977917981,0,0.022082019,0,0
0,Present,6745.3,41.9,14.6,33.6,18.44273973,148,-66,0,1,0,0,0,0
0,Present,6177.95,56.5,11.4,32.3,16.90547945,138.27,-53,0.088888889,0.888888889,0,0.015873016,0.006349206,0
2.6,Absent,5768.5,71.7,9.8,32.1,15.7830137,141.03,-55,0.477848101,0.462025316,0,0.006329114,0,0
